borough,street,prop_25,total_crashes,length_total,unsafe_speed_crashes,killed,injured,killed_speed,injured_speed,geometry,crash_pmile,speedcrash_pmile
BRONX,WEST FORDHAM ROAD,1,844,4473.7312714339,54,0,485,0,61,"list(c(-73.9098666810479, -73.9107559575931, 40.862310068669, 40.8616514840005), c(-73.9128649257944, -73.9130061498602, 40.8618149951162, 40.8618727780825), c(-73.9118122918439, -73.9119785187746, 40.8617323858245, 40.8617176816811), c(-73.9107559575931, -73.9118122918439, 40.8616514840005, 40.8617323858245), c(-73.9118122918439, -73.9118842324651, 40.8617323858245, 40.861792053244), c(-73.9125772352034, -73.9126461614105, 40.8619164788624, 40.8619239511063), c(-73.9010796698987, -73.901321353095, 
-73.9015662838866, -73.9018117024277, -73.9020548328927, -73.9022929795845, 40.8627563837538, 40.862780651802, 40.8627890014471, 40.8627811511683, 40.8627571967596, 40.8627175979042), c(-73.9127161472798, -73.9128019230005, 40.8617928026417, 40.8618039345235), c(-73.9118842324651, -73.9120512465672, 40.861792053244, 40.8618279751597), c(-73.9133332444494, -73.913384438404, 40.8620604342657, 40.8620863347869), c(-73.9090643878511, -73.9090789806397, -73.9090963409496, -73.909116421185, -73.9091391666341, 
-73.909164515475, -73.9091924011404, -73.9092227475834, -73.9092554716434, -73.909290486606, -73.9093276974605, -73.9093670044574, -73.9094083007362, -73.9094514746998, -73.9094964111985, 40.8631547994838, 40.8631140593051, 40.8630739498468, 40.8630345782285, 40.8629960515639, 40.8629584724589, 40.8629219444155, 40.8628865646252, 40.8628524284725, 40.8628196286378, 40.8627882532924, 40.8627583870019, 40.8627301107243, 40.8627035000112, 40.8626786268095), c(-73.9125168608708, -73.9127161472798, 40.8617736864861, 
40.8617928026417), c(-73.9121074527807, -73.9125168608708, 40.861731449413, 40.8617736864861), c(-73.9123850928593, -73.9125772352034, 40.8618852571993, 40.8619164788624), c(-73.9120512465672, -73.9123850928593, 40.8618279751597, 40.8618852571993), c(-73.9033184537255, -73.9040469774635, 40.8627352828914, 40.8627417307204), c(-73.9061589543603, -73.9075497885714, 40.8627789785693, 40.8628149503328), c(-73.9127097341153, -73.9128774625912, 40.861934634009, 40.8619690964735), c(-73.9128019230005, -73.9128649257944, 
40.8618039345235, 40.8618149951162), c(-73.9094964111985, -73.9098666810479, 40.8626786268095, 40.862310068669), c(-73.9075497885714, -73.9077972854188, -73.9080464672326, -73.9082954351101, -73.9085423372715, -73.9087852837217, -73.9090225277402, 40.8628149503328, 40.8628261541657, 40.8628240558697, 40.8628084990403, 40.8627795605538, 40.8627375108773, 40.8626828088087), c(-73.913384438404, -73.9134315172823, 40.8620863347869, 40.8621390668056), c(-73.9133128816162, -73.9134315172823, 40.8621403996081, 
40.8621390668056), c(-73.9128774625912, -73.9130038349187, -73.9132574875473, 40.8619690964735, 40.8620103532348, 40.8621154963425), c(-73.9126461614105, -73.9127097341153, 40.8619239511063, 40.861934634009), c(-73.9090225277402, -73.9092076995269, -73.9093871202179, -73.9095582505261, -73.9097187879519, -73.9098666810479, 40.8626828088087, 40.862633604204, 40.8625708820299, 40.8624953201928, 40.8624079362823, 40.862310068669), c(-73.9119785187746, -73.9121074527807, 40.8617176816811, 40.861731449413
), c(-73.9130061498602, -73.9133332444494, 40.8618727780825, 40.8620604342657), c(-73.9022929795845, -73.9025490367852, -73.902806520188, -73.9030635949335, -73.9033184537255, 40.8627175979042, 40.8627019379101, 40.8626996526299, 40.8627108098504, 40.8627352828914), c(-73.9040469774635, -73.9049338608528, 40.8627417307204, 40.8627495742259), c(-73.9049338608528, -73.9061589543603, 40.8627495742259, 40.8627789785693), c(-73.9132574875473, -73.9133128816162, 40.8621154963425, 40.8621403996081))",0.18865683895436236,0.012070461260113232
MANHATTAN,EAST 125 STREET,1,580,3501.747119313,11,2,256,0,16,"list(c(-73.9358161321006, -73.9335764484509, 40.8036999006826, 40.8027521805066), c(-73.9391901804464, -73.9390349820878, 40.805121663327, 40.8050564563935), c(-73.9374185277738, -73.9358161321006, 40.8043746781097, 40.8036999006826), c(-73.9422631122433, -73.9406457361917, 40.8064157378681, 40.8057366880428), c(-73.9333139977321, -73.9313830764606, 40.8026448335755, 40.8018310089383), c(-73.9335764484509, -73.9333139977321, 40.8027521805066, 40.8026448335755), c(-73.9388937286704, -73.9374185277738, 
40.8049953827276, 40.8043746781097), c(-73.9406457361917, -73.9391901804464, 40.8057366880428, 40.805121663327), c(-73.9313830764606, -73.931201561961, 40.8018310089383, 40.8017545023988), c(-73.9390349820878, -73.9388937286704, 40.8050564563935, 40.8049953827276))",0.1656316062348297,0.0031412890837640116
MANHATTAN,WEST 207 STREET,0.7304331288154182,369,2654.0898114409,24,0,158,0,17,"list(c(-73.9217261317312, -73.9221415258184, 40.8684967394988, 40.8691477958488), c(-73.9191348104356, -73.9193618972097, 40.864525171954, 40.8648093453416), c(-73.920611656695, -73.9212131445967, 40.866759590838, 40.8676927839485), c(-73.9221415258184, -73.9223436073929, 40.8691477958488, 40.8694590410507), c(-73.9199959160579, -73.920611656695, 40.8657968313769, 40.866759590838), c(-73.9193618972097, -73.9199959160579, 40.8648093453416, 40.8657968313769), c(-73.9170634669092, -73.9189422564482, 
40.8636906135227, 40.8644629120569), c(-73.9212131445967, -73.9217261317312, 40.8676927839485, 40.8684967394988), c(-73.9189422564482, -73.9191348104356, 40.8644629120569, 40.864525171954))",0.1390307134330434,0.009042648028165425
MANHATTAN,8 AVENUE,1,1780,13153.702194948999,33,8,636,0,17,"list(c(-73.9925285599733, -73.9920790006159, 40.7534739125965, 40.7540911151311), c(-73.9838218567142, -73.9833665788604, 40.7654184745509, 40.7660452414923), c(-74.0027893544691, -74.002523815526, 40.7393960269273, 40.7397526429484), c(-74.0007027556094, -74.0002751801148, 40.7422536108588, 40.7428387980929), c(-73.9948436387658, -73.9943794683318, 40.7502933091908, 40.7509303899907), c(-73.9902762142435, -73.9897908537407, 40.75656756469, 40.7572331319248), c(-73.9831316683353, -73.9828771349414, 
40.7663669825796, 40.7667155948933), c(-74.0058287100271, -74.0058125596987, -74.0057956137743, -74.0057778829065, -74.0057593741969, -74.0057400994822, -74.0057200658641, -74.0056992863633, -74.0056777704492, -74.005655529959, -74.0056325755461, -74.0056089190477, -74.0055845734852, -74.005559550696, -74.0055338637016, 40.7365338509175, 40.7365605986129, 40.7365870608852, 40.7366132224246, 40.736639071524, 40.7366645937742, 40.7366897765674, 40.7367146072955, 40.7367390715494, 40.736763158522, 40.7367868547049, 
40.7368101483904, 40.7368330269704, 40.7368554787373, 40.7368774928838), c(-74.0002751801148, -73.9998482364602, 40.7428387980929, 40.7434250192748), c(-73.988842538619, -73.9883904453284, 40.7585334982932, 40.7591641861066), c(-73.9961965548614, -73.995748555691, 40.7484393279137, 40.7490521958207), c(-73.9929793783949, -73.9925285599733, 40.7528534025737, 40.7534739125965), c(-73.995748555691, -73.9952982151355, 40.7490521958207, 40.7496716823564), c(-73.9934641775695, -73.9929793783949, 40.7521900547086, 
40.7528534025737), c(-73.9980082198893, -73.9975516455032, 40.7459513015181, 40.746580899811), c(-73.9856467781519, -73.9851915222912, 40.762914873651, 40.7635436741687), c(-73.9994160437682, -73.9989723745838, 40.7440070055169, 40.744630054892), c(-73.9939482570171, -73.9934641775695, 40.7515222219847, 40.7521900547086), c(-73.9984865249101, -73.9980082198893, 40.7452941641558, 40.7459513015181), c(-73.987015145257, -73.9865613849157, 40.7610373672437, 40.7616601221239), c(-73.9998482364602, -73.9994160437682, 
40.7434250192748, 40.7440070055169), c(-74.0015553148274, -74.0011291751495, 40.7410800257132, 40.7416680978178), c(-74.0038603027697, -74.0034456834403, 40.7383948749328, 40.7387558925066), c(-73.9833665788604, -73.9831316683353, 40.7660452414923, 40.7663669825796), c(-73.9943794683318, -73.9939482570171, 40.7509303899907, 40.7515222219847), c(-73.9907263635924, -73.9902762142435, 40.755950405478, 40.75656756469), c(-73.9970990293073, -73.9966470443565, 40.7472051023045, 40.7478227292869), c(-73.9911773813577, 
-73.9907263635924, 40.7553298478128, 40.755950405478), c(-73.9989723745838, -73.9984865249101, 40.744630054892, 40.7452941641558), c(-73.9883904453284, -73.9879264067771, 40.7591641861066, 40.7597902764623), c(-73.9892972754427, -73.988842538619, 40.7579066369404, 40.7585334982932), c(-73.9861040616429, -73.9856467781519, 40.7622899526956, 40.762914873651), c(-74.0034456834403, -74.0030820867509, 40.7387558925066, 40.7390776000688), c(-73.9823654504442, -73.9821106155724, 40.7673921526214, 40.7677444759201
), c(-73.9897908537407, -73.9892972754427, 40.7572331319248, 40.7579066369404), c(-73.9952982151355, -73.9948436387658, 40.7496716823564, 40.7502933091908), c(-73.9842823016609, -73.9838218567142, 40.764791814519, 40.7654184745509), c(-73.9828771349414, -73.9823654504442, 40.7667155948933, 40.7673921526214), c(-73.99163271332, -73.9911773813577, 40.7547068041457, 40.7553298478128), c(-73.9879264067771, -73.987475246755, 40.7597902764623, 40.7604047867044), c(-74.002019378838, -74.0015553148274, 40.7404440893673, 
40.7410800257132), c(-73.9975516455032, -73.9970990293073, 40.746580899811, 40.7472051023045), c(-74.0030820867509, -74.0027893544691, 40.7390776000688, 40.7393960269273), c(-74.002523815526, -74.002019378838, 40.7397526429484, 40.7404440893673), c(-73.9966470443565, -73.9961965548614, 40.7478227292869, 40.7484393279137), c(-73.9847339372669, -73.9842823016609, 40.7641691046361, 40.764791814519), c(-73.987475246755, -73.987015145257, 40.7604047867044, 40.7610373672437), c(-74.0048295938619, -74.0041752981898, 
40.7375474698077, 40.7381343471334), c(-73.9865613849157, -73.9861040616429, 40.7616601221239, 40.7622899526956), c(-73.9851915222912, -73.9847339372669, 40.7635436741687, 40.7641691046361), c(-74.0011291751495, -74.0007027556094, 40.7416680978178, 40.7422536108588), c(-74.0041752981898, -74.0038603027697, 40.7381343471334, 40.7383948749328), c(-73.9920790006159, -73.99163271332, 40.7540911151311, 40.7547068041457), c(-74.0055338637016, -74.0048295938619, 40.7368774928838, 40.7375474698077))",0.13532311843607933,0.002508799386736302
MANHATTAN,CANAL STREET,1,1070,8302.707595342,6,1,304,0,2,"list(c(-74.0035118646178, -74.0039292841303, 40.7205563527429, 40.7208544349586), c(-74.0080950852584, -74.0083819654762, 40.7237846372424, 40.7239856815206), c(-74.0032595517301, -74.0035118646178, 40.7203770948032, 40.7205563527429), c(-73.9954372446764, -73.9958091238783, 40.7159980246799, 40.7166446591468), c(-74.0053098618084, -74.0059128988763, 40.7218241923404, 40.7222529495417), c(-73.9960587273715, -73.9969837526949, 40.7162316399767, 40.716540542912), c(-74.0110245799335, -74.0111435332259, 
40.7257938612561, 40.7258144750637), c(-74.0005319557241, -74.0012727342146, 40.7184302384443, 40.7189614254053), c(-74.0080566147091, -74.0081529601311, 40.7238636947481, 40.723936630116), c(-74.0100700117069, -74.0110561965174, 40.7250443469394, 40.7251484093496), c(-74.0085223358835, -74.0086438059574, 40.7241974538768, 40.7242213164206), c(-74.0018840637214, -74.0026000196051, 40.7193975699503, 40.7199034254719), c(-74.0026000196051, -74.0032595517301, 40.7199034254719, 40.7203770948032), c(-73.9949249234754, 
-73.9954372446764, 40.7158461835168, 40.7159980246799), c(-74.0012727342146, -74.0014005575333, 40.7189614254053, 40.7190526194533), c(-73.9923825885922, -73.9924906251657, 40.7150477257062, 40.7150803402826), c(-74.009731523994, -74.0100533854098, 40.7249903707128, 40.7252444514201), c(-74.0111766614571, -74.0112648710492, 40.7251694255072, 40.7251870218638), c(-74.0076290418682, -74.0079120609074, 40.7234977037727, 40.7236997670606), c(-73.999956209187, -74.0005319557241, 40.7180170947119, 40.7184302384443
), c(-73.9942720057511, -73.9946179835142, 40.7156208641322, 40.7157402146427), c(-74.010812383082, -74.0109227721137, 40.7257898029725, 40.7257941510172), c(-74.0086166185796, -74.0086438059574, 40.7241374279203, 40.7242213164206), c(-74.0062984174551, -74.0076290418682, 40.7225495028738, 40.7234977037727), c(-74.0059128988763, -74.0062984174551, 40.7222529495417, 40.7225495028738), c(-74.009731523994, -74.0100700117069, 40.7249903707128, 40.7250443469394), c(-73.9993124174061, -73.999956209187, 
40.717550241274, 40.7180170947119), c(-73.9969837526949, -73.9977628602719, 40.716540542912, 40.7168139285455), c(-74.0079120609074, -74.0080950852584, 40.7236997670606, 40.7237846372424), c(-73.9985892556115, -73.9993124174061, 40.717099511397, 40.717550241274), c(-74.0079120609074, -74.0080566147091, 40.7236997670606, 40.7238636947481), c(-73.9918898631951, -73.9923825885922, 40.7148986665951, 40.7150477257062), c(-74.0109227721137, -74.0110245799335, 40.7257941510172, 40.7257938612561), c(-74.0100533854098, 
-74.010812383082, 40.7252444514201, 40.7257898029725), c(-73.9946179835142, -73.9949249234754, 40.7157402146427, 40.7158461835168), c(-73.9893365655828, -73.9902201263899, 40.7141333757778, 40.7144049401089), c(-73.9924906251657, -73.9925276669766, -73.9925991588916, 40.7150803402826, 40.715091527031, 40.7151131078762), c(-74.0014005575333, -74.0018840637214, 40.7190526194533, 40.7193975699503), c(-74.0110561965174, -74.0111766614571, 40.7251484093496, 40.7251694255072), c(-74.0039292841303, -74.0046351628156, 
40.7208544349586, 40.7213536323093), c(-74.0081529601311, -74.0085223358835, 40.723936630116, 40.7241974538768), c(-74.0052271618314, -74.0053098618084, 40.7217441021077, 40.7218241923404), c(-73.9925991588916, -73.9934007330873, 40.7151131078762, 40.7153547545231), c(-73.9911328208208, -73.9918898631951, 40.7146686294354, 40.7148986665951), c(-73.990755153631, -73.9911328208208, 40.7145540728173, 40.7146686294354), c(-73.9977628602719, -73.9985892556115, 40.7168139285455, 40.717099511397), c(-74.0083819654762, 
-74.0086166185796, 40.7239856815206, 40.7241374279203), c(-73.9902201263899, -73.990755153631, 40.7144049401089, 40.7145540728173), c(-74.0046351628156, -74.0052271618314, 40.7213536323093, 40.7217441021077), c(-74.0086438059574, -74.0093176048822, 40.7242213164206, 40.7247015513386), c(-73.9934007330873, -73.9942720057511, 40.7153547545231, 40.7156208641322), c(-74.0093176048822, -74.009731523994, 40.7247015513386, 40.7249903707128))",0.12887362197366714,7.226558241514046e-4
MANHATTAN,7 AVENUE,1,1380,12617.683532007,20,2,525,0,15,"list(c(-73.9994415308011, -73.9994118143667, 40.7388881966182, 40.7389288597816), c(-73.9996842298553, -73.9994415308011, 40.7385524730692, 40.7388881966182), c(-73.9974335970969, -73.9970071914139, 40.7416425723997, 40.7422281618112), c(-73.9841736870512, -73.9837301541764, 40.7598415920544, 40.7604570882371), c(-73.9846192524646, -73.9841736870512, 40.7591994106235, 40.7598415920544), c(-74.0010950051343, -74.000647261617, 40.7365632390054, 40.737229527993), c(-73.9933590222161, -73.9929092874113, 
40.7472352224085, 40.7478549510416), c(-73.9987127065205, -73.9982870229741, 40.739880877633, 40.7404698218226), c(-74.000647261617, -74.000183088509, 40.737229527993, 40.7378649368024), c(-73.9911101007126, -73.9906221998381, 40.7503190701484, 40.7509917534822), c(-73.9906221998381, -73.9903729295593, 40.7509917534822, 40.7513322024632), c(-73.9883357254816, -73.9878916289787, 40.7541302930775, 40.7547493906404), c(-73.9850497004078, -73.9846192524646, 40.7585736254437, 40.7591994106235), c(-73.9832629099417, 
-73.9828072778914, 40.7610936150013, 40.7617185160333), c(-73.9991849583408, -73.9987127065205, 40.7392428365002, 40.739880877633), c(-73.981894282662, -73.9814335201278, 40.7629684473265, 40.7635943604207), c(-73.9982870229741, -73.9978612846211, 40.7404698218226, 40.7410563690402), c(-73.9924623984259, -73.9920055291347, 40.7484697342717, 40.7491014445365), c(-73.9828072778914, -73.9823506899156, 40.7617185160333, 40.7623430998842), c(-73.9860145241036, -73.985537266326, 40.7573393461478, 40.7579732841487
), c(-73.9864582547545, -73.9860145241036, 40.7567100712947, 40.7573393461478), c(-73.9956449402822, -73.9951539430362, 40.7440985341089, 40.7447598430033), c(-73.9896932813636, -73.9892434199162, 40.7522802627348, 40.7528954641662), c(-73.9795441734417, -73.9794564180164, 40.7661974147294, 40.766324787092), c(-73.9942625864535, -73.993812750535, 40.7460039815397, 40.7466175363293), c(-73.9887865507014, -73.9883357254816, 40.7535167793383, 40.7541302930775), c(-73.9947086732077, -73.9942625864535, 
40.7453824462797, 40.7460039815397), c(-73.9901337926068, -73.9896932813636, 40.7516588082818, 40.7522802627348), c(-73.9961290101193, -73.9956449402822, 40.7434306545305, 40.7440985341089), c(-73.9892434199162, -73.9887865507014, 40.7528954641662, 40.7535167793383), c(-73.9970071914139, -73.9965801769204, 40.7422281618112, 40.742810912981), c(-73.9903729295593, -73.9903320583657, 40.7513322024632, 40.7513880240959), c(-73.9929092874113, -73.9924623984259, 40.7478549510416, 40.7484697342717), c(-73.9949439416737, 
-73.9947086732077, 40.7450602979163, 40.7453824462797), c(-73.985537266326, -73.9850497004078, 40.7579732841487, 40.7585736254437), c(-73.9837301541764, -73.9832629099417, 40.7604570882371, 40.7610936150013), c(-73.9823506899156, -73.981894282662, 40.7623430998842, 40.7629684473265), c(-73.9978612846211, -73.9974335970969, 40.7410563690402, 40.7416425723997), c(-73.9965801769204, -73.9961290101193, 40.742810912981, 40.7434306545305), c(-73.9869487385455, -73.9864582547545, 40.7560359025945, 40.7567100712947
), c(-73.9800357571082, -73.9795441734417, 40.7655210334204, 40.7661974147294), c(-73.9920055291347, -73.9915630059213, 40.7491014445365, 40.7497059217823), c(-73.9814335201278, -73.980980647918, 40.7635943604207, 40.7642226574534), c(-73.980980647918, -73.9805278877804, 40.7642226574534, 40.7648434973951), c(-73.9805278877804, -73.9800357571082, 40.7648434973951, 40.7655210334204), c(-73.9903320583657, -73.9901337926068, 40.7513880240959, 40.7516588082818), c(-73.9794564180164, -73.9790765881421, 
40.766324787092, 40.7668760855152), c(-73.9915630059213, -73.9911101007126, 40.7497059217823, 40.7503190701484), c(-73.9874464220712, -73.9869487385455, 40.7553729609263, 40.7560359025945), c(-73.993812750535, -73.9933590222161, 40.7466175363293, 40.7472352224085), c(-73.9951539430362, -73.9949439416737, 40.7447598430033, 40.7450602979163), c(-73.9878916289787, -73.9874464220712, 40.7547493906404, 40.7553729609263), c(-73.9994118143667, -73.9991849583408, 40.7389288597816, 40.7392428365002), c(-74.000183088509, 
-73.9996842298553, 40.7378649368024, 40.7385524730692))",0.10937031321948948,0.001585077003181007
MANHATTAN,WEST 42 STREET,1,702,6459.0637352109,13,0,205,0,11,"list(c(-74.0011505419352, -74.0012779637395, 40.7620258115896, 40.7620758251609), c(-73.9884183554506, -73.9897908537407, 40.756654985918, 40.7572331319248), c(-73.998312112354, -73.9993932093556, 40.7608220691225, 40.7612770760087), c(-73.9897908537407, -73.9926330119555, 40.7572331319248, 40.7584296866812), c(-73.9869487385455, -73.9884183554506, 40.7560359025945, 40.756654985918), c(-73.9939365066283, -73.9954745024558, 40.7589792687252, 40.759626856359), c(-73.9926330119555, -73.9939365066283, 
40.7584296866812, 40.7589792687252), c(-73.9954745024558, -73.9962322315613, 40.759626856359, 40.7599460315006), c(-73.9841175481989, -73.986404367192, 40.754842052465, 40.7558080289245), c(-73.986404367192, -73.9869487385455, 40.7558080289245, 40.7560359025945), c(-73.9808870986816, -73.9841175481989, 40.7534809889813, 40.754842052465), c(-74.0010358753088, -74.0011505419352, 40.7619683514921, 40.7620258115896), c(-73.9993932093556, -74.0010358753088, 40.7612770760087, 40.7619683514921), c(-73.9962322315613, 
-73.998312112354, 40.7599460315006, 40.7608220691225))",0.10868448257804325,0.0020126756032970974
QUEENS,LAURELTON PARKWAY,1,731,6826.562536655,47,3,387,0,44,"list(c(-73.727200841464, -73.7281023875671, 40.6835612343908, 40.6817656363386), c(-73.7318738298095, -73.7330322340935, 40.6775689204741, 40.6764950258455), c(-73.7385008654464, -73.7386994692118, 40.6692847731153, 40.6690682360954), c(-73.7338420427559, -73.7340348974085, 40.675463377332, 40.6752376570583), c(-73.7271827250735, -73.727200841464, 40.6835973292398, 40.6835612343908), c(-73.7371842450866, -73.7373552748009, -73.7375467381748, -73.7377579442325, -73.7379880602557, -73.7382360871809, 
-73.7385008654464, 40.6709098129904, 40.6706188405193, 40.6703343441133, 40.6700575468027, 40.6697896361698, 40.6695317057613, 40.6692847731153), c(-73.7356185398729, -73.7359217162344, 40.6731305262991, 40.6726511828138), c(-73.7271567230504, -73.7271827250735, 40.6836467690797, 40.6835973292398), c(-73.7270179046958, -73.7271567230504, 40.6839389281806, 40.6836467690797), c(-73.7281023875671, -73.7283018085903, -73.7285165685864, -73.7287461676518, -73.7289899878063, -73.7292473994161, 40.6817656363386, 
40.6814849745265, 40.681210472081, 40.6809428571588, 40.6806828126104, 40.6804309852383), c(-73.7350275152594, -73.7350677567678, 40.6740282899844, 40.6739942421757), c(-73.7310614245337, -73.7318738298095, 40.6783066205109, 40.6775689204741), c(-73.7392198633501, -73.7399333161749, 40.6685188842775, 40.6677638278391), c(-73.7351255942917, -73.7356185398729, 40.6739384206891, 40.6731305262991), c(-73.7386994692118, -73.7390004173693, 40.6690682360954, 40.6687492852447), c(-73.7292473994161, -73.7295055581447, 
40.6804309852383, 40.680055724956), c(-73.7295055581447, -73.730473012587, 40.680055724956, 40.6793479362871), c(-73.7390004173693, -73.7392198633501, 40.6687492852447, 40.6685188842775), c(-73.7340348974085, -73.7350275152594, 40.6752376570583, 40.6740282899844), c(-73.7333224417103, -73.7338420427559, 40.676132565503, 40.675463377332), c(-73.7330322340935, -73.7333224417103, 40.6764950258455, 40.676132565503), c(-73.7350677567678, -73.7351255942917, 40.6739942421757, 40.6739384206891), c(-73.7408040464934, 
-73.7411781727079, 40.6668439679031, 40.6664029540315), c(-73.7399333161749, -73.7408040464934, 40.6677638278391, 40.6668439679031), c(-73.730473012587, -73.7310614245337, 40.6793479362871, 40.6783066205109))",0.10708171148728513,0.006884870642821342
MANHATTAN,WEST 125 STREET,1,784,7373.84549454,19,2,405,0,15,"list(c(-73.9570762841691, -73.9571069001974, 40.8142948284358, 40.8143318214487), c(-73.954288098454, -73.9548346610963, 40.810992231362, 40.8117252366369), c(-73.9454819519538, -73.9455389964143, 40.8077726270227, 40.8077966882821), c(-73.9594932888491, -73.9603572896214, 40.8170074730712, 40.8179591211335), c(-73.9583949669555, -73.9594932888491, 40.8157968862128, 40.8170074730712), c(-73.9583561191329, -73.9583949669555, 40.8157558725609, 40.8157968862128), c(-73.9422631122433, -73.9438407521174, 
40.8064157378681, 40.807080812151), c(-73.9555020823348, -73.9562588974543, 40.8124926111007, 40.8133894332265), c(-73.9455389964143, -73.9469061530587, 40.8077966882821, 40.8083732648381), c(-73.9609979485244, -73.9610832787877, 40.8186525869219, 40.8187360467574), c(-73.951165486529, -73.9525912574091, 40.8101728946812, 40.8107653329593), c(-73.9540109297462, -73.9548346610963, 40.8113697808535, 40.8117252366369), c(-73.9609536764824, -73.9609979485244, 40.8186123467576, 40.8186525869219), c(-73.9562588974543, 
-73.9570762841691, 40.8133894332265, 40.8142948284358), c(-73.9571693003697, -73.9578282186243, 40.8144031244018, 40.8151560487192), c(-73.9483265720332, -73.9484056906924, 40.8089722741044, 40.8090057369265), c(-73.9582944746543, -73.9583561191329, 40.8156907893724, 40.8157558725609), c(-73.9484056906924, -73.9497816619745, 40.8090057369265, 40.8095876690702), c(-73.9548995892739, -73.9549709340504, 40.8117998889903, 40.811881919788), c(-73.9469061530587, -73.9482334968437, 40.8083732648381, 40.8089330255655
), c(-73.9582267749891, -73.9582944746543, 40.8156120884419, 40.8156907893724), c(-73.9548346610963, -73.9548995892739, 40.8117252366369, 40.8117998889903), c(-73.9608144199341, -73.9609105940663, 40.8184588999272, 40.818564875992), c(-73.9482334968437, -73.9483265720332, 40.8089330255655, 40.8089722741044), c(-73.9604760047283, -73.9608144199341, 40.8180889054435, 40.8184588999272), c(-73.9609105940663, -73.9609536764824, 40.818564875992, 40.8186123467576), c(-73.9549709340504, -73.9555020823348, 
40.811881919788, 40.8124926111007), c(-73.9453978839816, -73.9454819519538, 40.8077372066614, 40.8077726270227), c(-73.9581995324308, -73.9582267749891, 40.8155804179944, 40.8156120884419), c(-73.9571069001974, -73.9571693003697, 40.8143318214487, 40.8144031244018), c(-73.9438407521174, -73.9453978839816, 40.807080812151, 40.8077372066614), c(-73.9497816619745, -73.951165486529, 40.8095876690702, 40.8101728946812), c(-73.9603572896214, -73.9604760047283, 40.8179591211335, 40.8180889054435), c(-73.9525912574091, 
-73.9540109297462, 40.8107653329593, 40.8113697808535), c(-73.9578282186243, -73.9581995324308, 40.8151560487192, 40.8155804179944))",0.10632172868017327,0.002576674547096036
MANHATTAN,EAST 96 STREET,1,415,4088.5517778514,11,0,121,0,5,"list(c(-73.9446839280509, -73.9440968037017, 40.7831488222476, 40.7829107884659), c(-73.9493317063114, -73.9487762624234, 40.7851931258509, 40.7849582357537), c(-73.9541647697556, -73.9537134510606, 40.7872275635546, 40.7870375854617), c(-73.9526613673499, -73.9525514550998, 40.7865950192563, 40.7865485811363), c(-73.9524643021381, -73.952229476575, 40.7865104306081, 40.7864115503304), c(-73.9440183486394, -73.9439345230752, -73.943916953635, 40.7830152094838, 40.7829775727854, 40.7829696848463), 
    c(-73.9440968037017, -73.9439814284184, 40.7829107884659, 40.7828665087991), c(-73.9447226448181, -73.9446213970656, 40.7832475718321, 40.7832661455982), c(-73.943916953635, -73.9438563433852, 40.7829696848463, 40.7829446934257), c(-73.9537134510606, -73.953416467316, 40.7870375854617, 40.7869125707998), c(-73.9439181526494, -73.943857091021, 40.7828401563572, 40.7828153187026), c(-73.9503380417043, -73.9493317063114, 40.7856171498332, 40.7851931258509), c(-73.9487762624234, -73.9470895188981, 
    40.7849582357537, 40.7842449059599), c(-73.9459218603855, -73.9447226448181, 40.7837527981471, 40.7832475718321), c(-73.9557773588812, -73.9541647697556, 40.7879139242438, 40.7872275635546), c(-73.9438563433852, -73.9437957308191, 40.7829446934257, 40.782919692967), c(-73.9470895188981, -73.9464449722151, 40.7842449059599, 40.7839731781523), c(-73.9447226448181, -73.9446839280509, 40.7832475718321, 40.7831488222476), c(-73.9509281274519, -73.9503380417043, 40.7858653799524, 40.7856171498332), 
    c(-73.9439814284184, -73.9439181526494, 40.7828665087991, 40.7828401563572), c(-73.9464449722151, -73.9459218603855, 40.7839731781523, 40.7837527981471), c(-73.9525514550998, -73.9524643021381, 40.7865485811363, 40.7865104306081), c(-73.952229476575, -73.9509281274519, 40.7864115503304, 40.7858653799524), c(-73.9446213970656, -73.9440183486394, 40.7832661455982, 40.7830152094838), c(-73.953416467316, -73.9526613673499, 40.7869125707998, 40.7865950192563))",0.10150293369112943,0.0026904392062709007
