borough,street,prop_25,total_crashes,length_total,unsafe_speed_crashes,geometry,crash_pmile,speedcrash_pmile
BRONX,WEST FORDHAM ROAD,1,844,4473.7312714339,54,"list(c(-73.9098666810479, -73.9107559575931, 40.862310068669, 40.8616514840005), c(-73.9128649257944, -73.9130061498602, 40.8618149951162, 40.8618727780825), c(-73.9118122918439, -73.9119785187746, 40.8617323858245, 40.8617176816811), c(-73.9107559575931, -73.9118122918439, 40.8616514840005, 40.8617323858245), c(-73.9118122918439, -73.9118842324651, 40.8617323858245, 40.861792053244), c(-73.9125772352034, -73.9126461614105, 40.8619164788624, 40.8619239511063), c(-73.9010796698987, -73.901321353095, 
-73.9015662838866, -73.9018117024277, -73.9020548328927, -73.9022929795845, 40.8627563837538, 40.862780651802, 40.8627890014471, 40.8627811511683, 40.8627571967596, 40.8627175979042), c(-73.9127161472798, -73.9128019230005, 40.8617928026417, 40.8618039345235), c(-73.9118842324651, -73.9120512465672, 40.861792053244, 40.8618279751597), c(-73.9133332444494, -73.913384438404, 40.8620604342657, 40.8620863347869), c(-73.9090643878511, -73.9090789806397, -73.9090963409496, -73.909116421185, -73.9091391666341, 
-73.909164515475, -73.9091924011404, -73.9092227475834, -73.9092554716434, -73.909290486606, -73.9093276974605, -73.9093670044574, -73.9094083007362, -73.9094514746998, -73.9094964111985, 40.8631547994838, 40.8631140593051, 40.8630739498468, 40.8630345782285, 40.8629960515639, 40.8629584724589, 40.8629219444155, 40.8628865646252, 40.8628524284725, 40.8628196286378, 40.8627882532924, 40.8627583870019, 40.8627301107243, 40.8627035000112, 40.8626786268095), c(-73.9125168608708, -73.9127161472798, 40.8617736864861, 
40.8617928026417), c(-73.9121074527807, -73.9125168608708, 40.861731449413, 40.8617736864861), c(-73.9123850928593, -73.9125772352034, 40.8618852571993, 40.8619164788624), c(-73.9120512465672, -73.9123850928593, 40.8618279751597, 40.8618852571993), c(-73.9033184537255, -73.9040469774635, 40.8627352828914, 40.8627417307204), c(-73.9061589543603, -73.9075497885714, 40.8627789785693, 40.8628149503328), c(-73.9127097341153, -73.9128774625912, 40.861934634009, 40.8619690964735), c(-73.9128019230005, -73.9128649257944, 
40.8618039345235, 40.8618149951162), c(-73.9094964111985, -73.9098666810479, 40.8626786268095, 40.862310068669), c(-73.9075497885714, -73.9077972854188, -73.9080464672326, -73.9082954351101, -73.9085423372715, -73.9087852837217, -73.9090225277402, 40.8628149503328, 40.8628261541657, 40.8628240558697, 40.8628084990403, 40.8627795605538, 40.8627375108773, 40.8626828088087), c(-73.913384438404, -73.9134315172823, 40.8620863347869, 40.8621390668056), c(-73.9133128816162, -73.9134315172823, 40.8621403996081, 
40.8621390668056), c(-73.9128774625912, -73.9130038349187, -73.9132574875473, 40.8619690964735, 40.8620103532348, 40.8621154963425), c(-73.9126461614105, -73.9127097341153, 40.8619239511063, 40.861934634009), c(-73.9090225277402, -73.9092076995269, -73.9093871202179, -73.9095582505261, -73.9097187879519, -73.9098666810479, 40.8626828088087, 40.862633604204, 40.8625708820299, 40.8624953201928, 40.8624079362823, 40.862310068669), c(-73.9119785187746, -73.9121074527807, 40.8617176816811, 40.861731449413
), c(-73.9130061498602, -73.9133332444494, 40.8618727780825, 40.8620604342657), c(-73.9022929795845, -73.9025490367852, -73.902806520188, -73.9030635949335, -73.9033184537255, 40.8627175979042, 40.8627019379101, 40.8626996526299, 40.8627108098504, 40.8627352828914), c(-73.9040469774635, -73.9049338608528, 40.8627417307204, 40.8627495742259), c(-73.9049338608528, -73.9061589543603, 40.8627495742259, 40.8627789785693), c(-73.9132574875473, -73.9133128816162, 40.8621154963425, 40.8621403996081))",0.18865683895436236,0.012070461260113232
MANHATTAN,WEST 207 STREET,0.7304331288154182,368,2654.0898114409,24,"list(c(-73.9217261317312, -73.9221415258184, 40.8684967394988, 40.8691477958488), c(-73.9191348104356, -73.9193618972097, 40.864525171954, 40.8648093453416), c(-73.920611656695, -73.9212131445967, 40.866759590838, 40.8676927839485), c(-73.9221415258184, -73.9223436073929, 40.8691477958488, 40.8694590410507), c(-73.9199959160579, -73.920611656695, 40.8657968313769, 40.866759590838), c(-73.9193618972097, -73.9199959160579, 40.8648093453416, 40.8657968313769), c(-73.9170634669092, -73.9189422564482, 
40.8636906135227, 40.8644629120569), c(-73.9212131445967, -73.9217261317312, 40.8676927839485, 40.8684967394988), c(-73.9189422564482, -73.9191348104356, 40.8644629120569, 40.864525171954))",0.13865393643186985,0.009042648028165425
QUEENS,LAURELTON PARKWAY,1,731,6826.562536655,47,"list(c(-73.727200841464, -73.7281023875671, 40.6835612343908, 40.6817656363386), c(-73.7318738298095, -73.7330322340935, 40.6775689204741, 40.6764950258455), c(-73.7385008654464, -73.7386994692118, 40.6692847731153, 40.6690682360954), c(-73.7338420427559, -73.7340348974085, 40.675463377332, 40.6752376570583), c(-73.7271827250735, -73.727200841464, 40.6835973292398, 40.6835612343908), c(-73.7371842450866, -73.7373552748009, -73.7375467381748, -73.7377579442325, -73.7379880602557, -73.7382360871809, 
-73.7385008654464, 40.6709098129904, 40.6706188405193, 40.6703343441133, 40.6700575468027, 40.6697896361698, 40.6695317057613, 40.6692847731153), c(-73.7356185398729, -73.7359217162344, 40.6731305262991, 40.6726511828138), c(-73.7271567230504, -73.7271827250735, 40.6836467690797, 40.6835973292398), c(-73.7270179046958, -73.7271567230504, 40.6839389281806, 40.6836467690797), c(-73.7281023875671, -73.7283018085903, -73.7285165685864, -73.7287461676518, -73.7289899878063, -73.7292473994161, 40.6817656363386, 
40.6814849745265, 40.681210472081, 40.6809428571588, 40.6806828126104, 40.6804309852383), c(-73.7350275152594, -73.7350677567678, 40.6740282899844, 40.6739942421757), c(-73.7310614245337, -73.7318738298095, 40.6783066205109, 40.6775689204741), c(-73.7392198633501, -73.7399333161749, 40.6685188842775, 40.6677638278391), c(-73.7351255942917, -73.7356185398729, 40.6739384206891, 40.6731305262991), c(-73.7386994692118, -73.7390004173693, 40.6690682360954, 40.6687492852447), c(-73.7292473994161, -73.7295055581447, 
40.6804309852383, 40.680055724956), c(-73.7295055581447, -73.730473012587, 40.680055724956, 40.6793479362871), c(-73.7390004173693, -73.7392198633501, 40.6687492852447, 40.6685188842775), c(-73.7340348974085, -73.7350275152594, 40.6752376570583, 40.6740282899844), c(-73.7333224417103, -73.7338420427559, 40.676132565503, 40.675463377332), c(-73.7330322340935, -73.7333224417103, 40.6764950258455, 40.676132565503), c(-73.7350677567678, -73.7351255942917, 40.6739942421757, 40.6739384206891), c(-73.7408040464934, 
-73.7411781727079, 40.6668439679031, 40.6664029540315), c(-73.7399333161749, -73.7408040464934, 40.6677638278391, 40.6668439679031), c(-73.730473012587, -73.7310614245337, 40.6793479362871, 40.6783066205109))",0.10708171148728513,0.006884870642821342
BRONX,EAST GUN HILL ROAD,1,1375,16093.8628910224,62,"list(c(-73.8709441469447, -73.8703372516557, 40.8785096955517, 40.8783514028668), c(-73.8442314695472, -73.8435858143523, 40.8694203501059, 40.8690876371482), c(-73.863379669581, -73.8621300423066, 40.8764102798436, 40.8760109848901), c(-73.8753641259936, -73.8743865845335, 40.8795792373194, 40.8790551732355), c(-73.8517098726968, -73.85108463464, 40.8726974582547, 40.8724927913297), c(-73.8589155963144, -73.8580292936781, 40.8749849380424, 40.8747042574091), c(-73.8664890860125, -73.8663662570338, 
40.8773924256905, 40.8773570186043), c(-73.8684934689946, -73.8684361246882, 40.8779034075001, 40.8778898366203), c(-73.86502367391, -73.8649633454003, 40.8769321798059, 40.8769137689837), c(-73.8387522354008, -73.8378438016977, 40.8665727770696, 40.8660991876787), c(-73.856512924197, -73.8557705236825, 40.8742177928429, 40.8739837127539), c(-73.86765402346, -73.8673751694556, 40.8777022117401, 40.8776344180367), c(-73.8648963211904, -73.8648319409067, 40.8768923813812, 40.8768718360916), c(-73.830893297099, 
-73.8304884329557, 40.8622128485754, 40.861975155081), c(-73.8378438016977, -73.8369702111915, 40.8660991876787, 40.8656431368481), c(-73.8649633454003, -73.8648963211904, 40.8769137689837, 40.8768923813812), c(-73.8526575185054, -73.8517098726968, 40.8729921865945, 40.8726974582547), c(-73.8743865845335, -73.8734832800099, 40.8790551732355, 40.8788555929216), c(-73.8451725673075, -73.8448773748023, 40.8699146979302, 40.8697605068104), c(-73.8697833827828, -73.8695707906025, 40.8782129775642, 40.878161910346
), c(-73.8776140212376, -73.876780772239, 40.8806592938815, 40.8802587978691), c(-73.879353158717, -73.8784874344132, 40.8815067007888, 40.8810765211705), c(-73.8725450118778, -73.8715965832943, 40.8787457275631, 40.878646136746), c(-73.8424062945285, -73.8418518653066, 40.8684747435583, 40.8681919253734), c(-73.8357843672624, -73.8315962007411, 40.865016011269, 40.8626447041295), c(-73.8315962007411, -73.8315196424575, 40.8626447041295, 40.8625976695613), c(-73.8699680743446, -73.8697833827828, 
40.8782643515412, 40.8782129775642), c(-73.8448773748023, -73.8444213367617, 40.8697605068104, 40.8695222985851), c(-73.8392208538837, -73.8387522354008, 40.866820840758, 40.8665727770696), c(-73.841223626221, -73.8406436477911, 40.8678581504769, 40.8675541747838), c(-73.8648319409067, -73.8647155580708, 40.8768718360916, 40.8768346959496), c(-73.8406436477911, -73.8397423341436, 40.8675541747838, 40.8670879303801), c(-73.8315196424575, -73.830893297099, 40.8625976695613, 40.8622128485754), c(-73.8695031591848, 
-73.8694346699871, 40.8781456647272, 40.8781288426863), c(-73.8472514486368, -73.846992737239, 40.8709870522504, 40.8708528877306), c(-73.860512208153, -73.8589155963144, 40.8754940062761, 40.8749849380424), c(-73.8695707906025, -73.8695031591848, 40.878161910346, 40.8781456647272), c(-73.8673751694556, -73.867060848692, 40.8776344180367, 40.8775580011556), c(-73.8642397680076, -73.863379669581, 40.8766834044621, 40.8764102798436), c(-73.8535762853223, -73.8526575185054, 40.8732760204923, 40.8729921865945
), c(-73.8621300423066, -73.861043515997, 40.8760109848901, 40.8756676230172), c(-73.8555175837646, -73.8545080501508, 40.8739039561051, 40.8735809420889), c(-73.8658408410528, -73.8655049374906, 40.8771937844172, 40.8770865964228), c(-73.8457814749005, -73.8451725673075, 40.8702276960407, 40.8699146979302), c(-73.8489375488331, -73.8485967608266, 40.8717855900688, 40.8716707848819), c(-73.836186013369, -73.8357843672624, 40.8652240985044, 40.865016011269), c(-73.868551971885, -73.8684934689946, 
40.8779172498173, 40.8779034075001), c(-73.8655049374906, -73.86502367391, 40.8770865964228, 40.8769321798059), c(-73.8369702111915, -73.8367882440462, 40.8656431368481, 40.865545905753), c(-73.8694346699871, -73.8693614880153, 40.8781288426863, 40.8781117451462), c(-73.85108463464, -73.8507898332462, 40.8724927913297, 40.8723962922907), c(-73.870059838355, -73.8699680743446, 40.8782903178153, 40.8782643515412), c(-73.8485967608266, -73.8479261408641, 40.8716707848819, 40.871342232912), c(-73.861043515997, 
-73.860512208153, 40.8756676230172, 40.8754940062761), c(-73.8397423341436, -73.8395447571119, 40.8670879303801, 40.8669867387398), c(-73.8701497637032, -73.870059838355, 40.8783101208078, 40.8782903178153), c(-73.8668536778351, -73.8664890860125, 40.8775015268333, 40.8773924256905), c(-73.8464076642239, -73.846089571586, 40.8705543005061, 40.8703897723221), c(-73.881244225275, -73.8804568749124, 40.8827096330462, 40.8822198376254), c(-73.8507898332462, -73.8498764513883, 40.8723962922907, 40.8721018812967
), c(-73.8662227095107, -73.8659193307082, 40.877315637846, 40.8772188299673), c(-73.8681188490851, -73.86765402346, 40.8778143701741, 40.8777022117401), c(-73.8545080501508, -73.8536363873982, 40.8735809420889, 40.8733005990477), c(-73.8498764513883, -73.8489375488331, 40.8721018812967, 40.8717855900688), c(-73.8663662570338, -73.8662227095107, 40.8773570186043, 40.877315637846), c(-73.8367882440462, -73.836186013369, 40.865545905753, 40.8652240985044), c(-73.8684361246882, -73.8681188490851, 40.8778898366203, 
40.8778143701741), c(-73.8557705236825, -73.8555175837646, 40.8739837127539, 40.8739039561051), c(-73.8659193307082, -73.8658408410528, 40.8772188299673, 40.8771937844172), c(-73.8703372516557, -73.8701497637032, 40.8783514028668, 40.8783101208078), c(-73.8574423031134, -73.856512924197, 40.8745136476875, 40.8742177928429), c(-73.846992737239, -73.8464076642239, 40.8708528877306, 40.8705543005061), c(-73.8580292936781, -73.8574423031134, 40.8747042574091, 40.8745136476875), c(-73.846089571586, -73.8457814749005, 
40.8703897723221, 40.8702276960407), c(-73.8759563348622, -73.8753641259936, 40.8798655361887, 40.8795792373194), c(-73.8734832800099, -73.8725450118778, 40.8788555929216, 40.8787457275631), c(-73.8418518653066, -73.841223626221, 40.8681919253734, 40.8678581504769), c(-73.8715965832943, -73.8709441469447, 40.878646136746, 40.8785096955517), c(-73.8647155580708, -73.8646201889557, 40.8768346959496, 40.876804201634), c(-73.8784874344132, -73.8776140212376, 40.8810765211705, 40.8806592938815), c(-73.8693614880153, 
-73.868551971885, 40.8781117451462, 40.8779172498173), c(-73.8536363873982, -73.8535762853223, 40.8733005990477, 40.8732760204923), c(-73.867060848692, -73.8668536778351, 40.8775580011556, 40.8775015268333), c(-73.8435858143523, -73.8431571546564, 40.8690876371482, 40.8688632664075), c(-73.8431571546564, -73.8428044355619, 40.8688632664075, 40.8686807523665), c(-73.8804568749124, -73.879353158717, 40.8822198376254, 40.8815067007888), c(-73.8444213367617, -73.8442314695472, 40.8695222985851, 40.8694203501059
), c(-73.876780772239, -73.8759563348622, 40.8802587978691, 40.8798655361887), c(-73.8395447571119, -73.8392208538837, 40.8669867387398, 40.866820840758), c(-73.8479261408641, -73.8472514486368, 40.871342232912, 40.8709870522504), c(-73.8428044355619, -73.8424062945285, 40.8686807523665, 40.8684747435583), c(-73.8646201889557, -73.8642397680076, 40.876804201634, 40.8766834044621))",0.08543629390349863,0.0038524001614668475
BRONX,WEST 181 STREET,1,43,1309.235518258,5,"list(c(-73.9064513823341, -73.9072993097758, 40.8561067330298, 40.8564041113008), c(-73.9089664626802, -73.909319357674, 40.8569898575477, 40.8571212064328), c(-73.9081018110276, -73.9089664626802, 40.8566828069771, 40.8569898575477), c(-73.9072993097758, -73.9081018110276, 40.8564041113008, 40.8566828069771), c(-73.909319357674, -73.909667477821, 40.8571212064328, 40.8574849483116), c(-73.9055700725691, -73.9064513823341, 40.8557873221843, 40.8561067330298))",0.03284359414356062,0.0038190225748326303
BROOKLYN,BUSHWICK AVENUE,1,1800,18942.1436178784,71,"list(c(-73.9372632059702, -73.9371432732959, 40.702582852075, 40.7022962013891), c(-73.9384095813027, -73.9379458030421, 40.7039000835851, 40.7036202498667), c(-73.9332466960321, -73.9322689059533, 40.6978555902176, 40.697316588943), c(-73.9259723133072, -73.9257148143438, 40.6938659575063, 40.6937248702877), c(-73.9377836395495, -73.9376312929058, 40.7035246414285, 40.7033734791961), c(-73.9284314932664, -73.9282589297179, 40.6952046389094, 40.695110248666), c(-73.9354699418217, -73.9347615457289, 
40.69907163067, 40.6987000851054), c(-73.9379458030421, -73.9379457841205, -73.9377836395495, 40.7036202498667, 40.7036202381499, 40.7035246414285), c(-73.9406880312294, -73.9404771350931, 40.7119620474037, 40.7115626430059), c(-73.9108868995381, -73.9101319350475, 40.6853690490339, 40.6849395559734), c(-73.9398370578551, -73.9397146068861, 40.7076536865359, 40.7069182918367), c(-73.9264812921521, -73.9259723133072, 40.6941408952407, 40.6938659575063), c(-73.9292353209706, -73.9284314932664, 40.6956432093793, 
40.6952046389094), c(-73.9041163506272, -73.9040494192358, 40.6815145348188, 40.6814766853233), c(-73.9410405215377, -73.9406880312294, 40.7126658516314, 40.7119620474037), c(-73.9304995292044, -73.9303484922954, 40.6963370414434, 40.6962536518028), c(-73.9413852378149, -73.9410405215377, 40.7133470749488, 40.7126658516314), c(-73.9272266112352, -73.9267353186834, 40.694548148697, 40.6942806007394), c(-73.9400770410881, -73.9399580683545, 40.7091025453184, 40.7083898006906), c(-73.9057577937018, 
-73.9056418442517, 40.6824491059564, 40.6823829311716), c(-73.9040061645862, -73.9033737562388, 40.6814536437963, 40.6810908418859), c(-73.9063753199968, -73.9057577937018, 40.6828015401647, 40.6824491059564), c(-73.9101319350475, -73.9093811048435, 40.6849395559734, 40.6845129338259), c(-73.9267353186834, -73.9264812921521, 40.6942806007394, 40.6941408952407), c(-73.9044857381417, -73.9041163506272, 40.6817139134176, 40.6815145348188), c(-73.9078783999169, -73.9071259668288, 40.6836574136156, 40.6832302800966
), c(-73.9388139082849, -73.9385990495293, 40.7042631901835, 40.7040666372211), c(-73.9168989588581, -73.9161471345327, 40.6887895754649, 40.6883602594536), c(-73.9138923259244, -73.913139378424, 40.6870791531869, 40.6866517346594), c(-73.9071259668288, -73.9063753199968, 40.6832302800966, 40.6828015401647), c(-73.9199053096663, -73.9191536753605, 40.6904987928738, 40.6900760615002), c(-73.9056418442517, -73.9048752692919, 40.6823829311716, 40.6819471173012), c(-73.8979242087075, -73.8977220597177, 
40.6782627374829, 40.6781644378365), c(-73.941713021821, -73.9413852378149, 40.7140070635617, 40.7133470749488), c(-73.9295846844892, -73.9292353209706, 40.6958403117937, 40.6956432093793), c(-73.9397146068861, -73.9395975177923, 40.7069182918367, 40.7062104472987), c(-73.9146424669396, -73.9138923259244, 40.6875070419484, 40.6870791531869), c(-73.9394032842397, -73.9393123770666, 40.7051480368435, 40.7048147374775), c(-73.9191536753605, -73.9184001548842, 40.6900760615002, 40.6896459846647), c(-73.9371432732959, 
-73.9369807401866, 40.7022962013891, 40.7019102773104), c(-73.9244391836118, -73.9241848237226, 40.6930411356628, 40.6929012447456), c(-73.9394752602836, -73.9394326838188, 40.7055023999441, 40.7052558264573), c(-73.9007523598905, -73.9004700112344, 40.6796766438815, 40.6795352442719), c(-73.9419273099014, -73.941713021821, 40.7144454485719, 40.7140070635617), c(-73.9401961068481, -73.9401840589118, 40.7098212782029, 40.7097485556677), c(-73.9274976091053, -73.9272266112352, 40.6946966702514, 40.694548148697
), c(-73.9040494192358, -73.9040061645862, 40.6814766853233, 40.6814536437963), c(-73.913139378424, -73.9123883689503, 40.6866517346594, 40.6862242135944), c(-73.9393123770666, -73.9391270849192, 40.7048147374775, 40.7045659182885), c(-73.9026226241436, -73.9007523598905, 40.6806645028997, 40.6796766438815), c(-73.9252055064469, -73.9249514149679, 40.6934546566253, 40.6933152268479), c(-73.9399580683545, -73.9398370578551, 40.7083898006906, 40.7076536865359), c(-73.8998484759801, -73.8988690674358, 
40.6792223154027, 40.6787372616983), c(-73.9395975177923, -73.9395568003168, 40.7062104472987, 40.7059746341692), c(-73.9404771350931, -73.9404225208222, 40.7115626430059, 40.7112176470153), c(-73.9401496466477, -73.9400770410881, 40.7095408285764, 40.7091025453184), c(-73.9176489489917, -73.9168989588581, 40.6892175524616, 40.6887895754649), c(-73.9384880420718, -73.9384095813027, 40.7039545722892, 40.7039000835851), c(-73.9404225208222, -73.9403526386937, 40.7112176470153, 40.7107801515852), c(-73.9161471345327, 
-73.9153943089096, 40.6883602594536, 40.6879352152051), c(-73.9310835065602, -73.9304995292044, 40.6966591809426, 40.6963370414434), c(-73.9403139257843, -73.9401961068481, 40.7105225133188, 40.7098212782029), c(-73.9257148143438, -73.9252055064469, 40.6937248702877, 40.6934546566253), c(-73.9364609191741, -73.936085631694, 40.7006438768123, 40.7000421331229), c(-73.9153943089096, -73.9146424669396, 40.6879352152051, 40.6875070419484), c(-73.8988690674358, -73.8979242087075, 40.6787372616983, 40.6782627374829
), c(-73.9394326838188, -73.9394032842397, 40.7052558264573, 40.7051480368435), c(-73.9403381261914, -73.9403139257843, 40.7106774308749, 40.7105225133188), c(-73.9048752692919, -73.9044857381417, 40.6819471173012, 40.6817139134176), c(-73.9401840589118, -73.940176460112, 40.7097485556677, 40.709702685984), c(-73.9002453767719, -73.8998484759801, 40.6794227906422, 40.6792223154027), c(-73.9086294337684, -73.9078783999169, 40.684085405567, 40.6836574136156), c(-73.9373179543907, -73.9372632059702, 
40.702713701984, 40.702582852075), c(-73.9184001548842, -73.9176489489917, 40.6896459846647, 40.6892175524616), c(-73.920656768897, -73.9199053096663, 40.6909275256133, 40.6904987928738), c(-73.9385990495293, -73.9384880420718, 40.7040666372211, 40.7039545722892), c(-73.9318424661585, -73.9310835065602, 40.6970776518079, 40.6966591809426), c(-73.9303484922954, -73.9298941510607, 40.6962536518028, 40.696004546242), c(-73.9229185286695, -73.92223097573, 40.6922129697415, 40.691822990123), c(-73.9298941510607, 
-73.9295846844892, 40.696004546242, 40.6958403117937), c(-73.9033737562388, -73.9026226241436, 40.6810908418859, 40.6806645028997), c(-73.9347615457289, -73.9339863104606, 40.6987000851054, 40.6982645424411), c(-73.9236717485365, -73.9229185286695, 40.692625699744, 40.6922129697415), c(-73.940176460112, -73.9401661047617, 40.709702685984, 40.709640177923), c(-73.9369807401866, -73.9367285372107, 40.7019102773104, 40.7013032496023), c(-73.9116371795936, -73.9108868995381, 40.6857968675626, 40.6853690490339
), c(-73.9376312929058, -73.9373179543907, 40.7033734791961, 40.702713701984), c(-73.9420658494946, -73.9419273099014, 40.7147288658252, 40.7144454485719), c(-73.9391270849192, -73.9388139082849, 40.7045659182885, 40.7042631901835), c(-73.9241848237226, -73.9236717485365, 40.6929012447456, 40.692625699744), c(-73.9367285372107, -73.9364609191741, 40.7013032496023, 40.7006438768123), c(-73.8977220597177, -73.8976160037047, 40.6781644378365, 40.6781119875613), c(-73.9093811048435, -73.9086294337684, 
40.6845129338259, 40.684085405567), c(-73.9249514149679, -73.9244391836118, 40.6933152268479, 40.6930411356628), c(-73.9004700112344, -73.9002453767719, 40.6795352442719, 40.6794227906422), c(-73.9401661047617, -73.9401496466477, 40.709640177923, 40.7095408285764), c(-73.9395372009405, -73.9394752602836, 40.7058611251933, 40.7055023999441), c(-73.9123883689503, -73.9116371795936, 40.6862242135944, 40.6857968675626), c(-73.9282589297179, -73.9274976091053, 40.695110248666, 40.6946966702514), c(-73.9336964708698, 
-73.9332466960321, 40.6981042827135, 40.6978555902176), c(-73.9403452873773, -73.9403381261914, 40.7107232732998, 40.7106774308749), c(-73.936085631694, -73.9354699418217, 40.7000421331229, 40.69907163067), c(-73.9403526386937, -73.9403452873773, 40.7107801515852, 40.7107232732998), c(-73.92223097573, -73.9214102295087, 40.691822990123, 40.6913527157653), c(-73.9214102295087, -73.920656768897, 40.6913527157653, 40.6909275256133), c(-73.9339863104606, -73.9336964708698, 40.6982645424411, 40.6981042827135
), c(-73.9395568003168, -73.9395372009405, 40.7059746341692, 40.7058611251933))",0.09502620380837382,0.003748255816885856
BROOKLYN,"NASSAU STREET",1,39,1621.2496927507,6,"list(c(-73.9853789297101, -73.9849606713584, 40.6984405680057, 40.6984449617423), c(-73.9855730541515, -73.9853789297101, 40.6984470401706, 40.6984405680057), c(-73.9830514706094, -73.9829719377757, 40.698377933353, 40.6983737603465), c(-73.9831489170346, -73.9830514706094, 40.6983816568717, 40.698377933353), c(-73.9822650188548, -73.9821471241769, 40.6983367136731, 40.6983305350416), c(-73.9821471241769, -73.9818959832544, 40.6983305350416, 40.6983173717456), c(-73.9839956223436, -73.9831489170346, 
40.6984139710383, 40.6983816568717), c(-73.9818959832544, -73.981789258952, 40.6983173717456, 40.698311778036), c(-73.9849606713584, -73.9839956223436, 40.6984449617423, 40.6984139710383), c(-73.9829719377757, -73.9822650188548, 40.6983737603465, 40.6983367136731), c(-73.9869689224448, -73.9861598503294, 40.6985036147648, 40.6984785040867), c(-73.981789258952, -73.9805441915308, 40.698311778036, 40.6982465113869))",0.02405551728051864,0.0037008488123874833
MANHATTAN,SHERMAN AVENUE,1,165,3933.9932806095,14,"list(c(-73.9296943782408, -73.9294283590107, 40.8622154863406, 40.8623127263435), c(-73.9294283590107, -73.9285984998599, 40.8623127263435, 40.8626139672832), c(-73.927766176318, -73.9269224335494, 40.8629254239624, 40.8632377318636), c(-73.9300028422474, -73.9296943782408, 40.8621027290223, 40.8622154863406), c(-73.9218827877924, -73.9199959160579, 40.8651001178217, 40.8657968313769), c(-73.9237671881101, -73.9218827877924, 40.8644036247559, 40.8651001178217), c(-73.9199959160579, -73.9185960203761, 
40.8657968313769, 40.8663143541267), c(-73.9269224335494, -73.9260109287094, 40.8632377318636, 40.8635736640284), c(-73.9185960203761, -73.917204844739, 40.8663143541267, 40.8668130909133), c(-73.9260109287094, -73.9237671881101, 40.8635736640284, 40.8644036247559), c(-73.9285984998599, -73.927766176318, 40.8626139672832, 40.8629254239624))",0.04194211535979957,0.0035587249396193572
BRONX,WEST 179 STREET,1,55,1782.2848628346,6,"list(c(-73.9167445040919, -73.9167388880064, -73.9167342619295, -73.9167306389618, -73.916728034579, -73.9167264559551, -73.9167259090771, -73.916726395189, -73.916727913163, -73.9167304583144, -73.9167340212122, -73.9167385888677, -73.9167441471047, -73.9167506770033, -73.9167581537112, -73.9167665535621, -73.9167758481423, -73.9167860031081, -73.9167969852982, 40.8554388645127, 40.8554515465802, 40.8554644562856, 40.8554775504151, 40.8554907830548, 40.8555041082849, 40.8555174810853, 40.8555308555317, 
40.8555441856983, 40.8555574247561, 40.8555705276738, 40.8555834494172, 40.8555961458519, 40.8556085728402, 40.8556206880407, 40.8556324491132, 40.8556438164153, 40.8556547503006, 40.8556652138246), c(-73.9167898288524, -73.9169851991029, 40.8548728754126, 40.8549828851041), c(-73.9127611770099, -73.9141219761679, 40.8552512934691, 40.8555401204573), c(-73.9111958065143, -73.9127611770099, 40.8548222937262, 40.8552512934691), c(-73.9149381192633, -73.9157109802608, 40.8557008234214, 40.8558594718906
), c(-73.9169851991029, -73.9167445040919, 40.8549828851041, 40.8554388645127), c(-73.9141219761679, -73.9149381192633, 40.8555401204573, 40.8557008234214), c(-73.9167969852982, -73.9171882111388, 40.8556652138246, 40.8559188214842))",0.030859264501930588,0.0033664652183924277
BRONX,WEST GUN HILL ROAD,1,72,1806.180028569,6,"list(c(-73.881244225275, -73.8820862369701, 40.8827096330462, 40.8831322215111), c(-73.8820862369701, -73.8827483337135, 40.8831322215111, 40.8833973871063), c(-73.8851649586594, -73.8866241302825, 40.8836316111953, 40.8842673027512), c(-73.8845261518528, -73.8851649586594, 40.8833121473993, 40.8836316111953), c(-73.8866241302825, -73.8868348673849, -73.886928897846, -73.8870514261454, 40.8842673027512, 40.8843420248551, 40.8843557143625, 40.8843495759487), c(-73.8831908874828, -73.8833421354716, 
-73.8833423479932, -73.8833425865856, -73.8835076408407, -73.8835078794328, -73.8835081049263, -73.8836832737149, -73.8836833686644, -73.8836834754472, -73.8838635817371, -73.8838637478594, -73.8838639139502, -73.8840432856486, -73.8840434161452, -73.8840435347614, -73.8842167154768, -73.8842168340774, -73.884216964527, -73.8843788795353, -73.8843790574129, -73.8843792233944, -73.8845261518528, 40.8832848337155, 40.883226518059, 40.88322643723, 40.8832263744371, 40.8831832457252, 40.8831831829319, 
40.88318314714, 40.8831576329085, 40.8831576149945, 40.8831576151021, 40.8831513940071, 40.8831513851693, 40.8831513943414, 40.8831649739387, 40.8831649830746, 40.8831650012036, 40.8831976646381, 40.8831976917716, 40.883197727922, 40.8832475971244, 40.8832476513318, 40.883247723537, 40.8833121473993), c(-73.8827483337135, -73.8831908874828, 40.8833973871063, 40.8832848337155))",0.039863135933932425,0.003321927994494369
